Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,name,ID,Index
Q9Y4E8,Q9Y4E8,UBP15_HUMAN,USP15,Ubiquitin carboxyl-terminal hydrolase 15,USP15,Q9Y4E8,Q9Y4E8
Q9Y4F1,Q9Y4F1;Q9Y4F1-2,FARP1_HUMAN,FARP1,"FERM, ARHGEF and pleckstrin domain-containing protein 1",FARP1,Q9Y4F1,Q9Y4F1
Q9Y4F3;Q9Y4F3-3;Q9Y4F3-4;Q9Y4F3-5,Q9Y4F3;Q9Y4F3-3;Q9Y4F3-4;Q9Y4F3-5;Q9Y4F3-6,MARF1_HUMAN,MARF1,Meiosis regulator and mRNA stability factor 1,MARF1,Q9Y4F3;Q9Y4F3-3;Q9Y4F3-4;Q9Y4F3-5,Q9Y4F3;Q9Y4F3-3;Q9Y4F3-4;Q9Y4F3-5
Q9Y4F5;Q9Y4F5-2;Q9Y4F5-3,Q9Y4F5;Q9Y4F5-3;Q9Y4F5-2,C170B_HUMAN,CEP170B,Centrosomal protein of 170 kDa protein B,CEP170B,Q9Y4F5;Q9Y4F5-2;Q9Y4F5-3,Q9Y4F5;Q9Y4F5-2;Q9Y4F5-3
Q9Y4F9,Q9Y4F9;Q9Y4F9-2,RIPR2_HUMAN,RIPOR2,Rho family-interacting cell polarization regulator 2,RIPOR2,Q9Y4F9,Q9Y4F9
Q9Y4G6,Q9Y4G6,TLN2_HUMAN,TLN2,Talin-2,TLN2,Q9Y4G6,Q9Y4G6
Q9Y4H4,Q9Y4H4,GPSM3_HUMAN,GPSM3,G-protein-signaling modulator 3,GPSM3,Q9Y4H4,Q9Y4H4
Q9Y4I1;Q9Y4I1-2;Q9Y4I1-3,Q9Y4I1;Q9Y4I1-2;Q9Y4I1-3,MYO5A_HUMAN,MYO5A,Unconventional myosin-Va,MYO5A,Q9Y4I1;Q9Y4I1-2;Q9Y4I1-3,Q9Y4I1;Q9Y4I1-2;Q9Y4I1-3
Q9Y4I5;Q9Y4I5-2;Q9Y4I5-3,Q9Y4I5;Q9Y4I5-2;Q9Y4I5-3,MTL5_HUMAN,TESMIN,Tesmin,TESMIN,Q9Y4I5;Q9Y4I5-2;Q9Y4I5-3,Q9Y4I5;Q9Y4I5-2;Q9Y4I5-3
Q9Y4J8-15,O60941;O60941-5;Q9Y4J8;Q9Y4J8-10;Q9Y4J8-11;Q9Y4J8-12;Q9Y4J8-13;Q9Y4J8-14;Q9Y4J8-15;Q9Y4J8-16;Q9Y4J8-17;Q9Y4J8-2;Q9Y4J8-3;Q9Y4J8-4;Q9Y4J8-5;Q9Y4J8-6;Q9Y4J8-8;O60941-2;O60941-3;O60941-4;O60941-6;O60941-7,DTNA_HUMAN,DTNA,Isoform 15 of Dystrobrevin alpha,DTNA,Q9Y4J8-15,Q9Y4J8-15
Q9Y4K1,Q9Y4K1;Q9Y4K1-2,CRBG1_HUMAN,CRYBG1,Beta/gamma crystallin domain-containing protein 1,CRYBG1,Q9Y4K1,Q9Y4K1
Q9Y4K4,Q9Y4K4,M4K5_HUMAN,MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,MAP4K5,Q9Y4K4,Q9Y4K4
Q9Y4L1,Q9Y4L1;Q9Y4L1-2,HYOU1_HUMAN,HYOU1,Hypoxia up-regulated protein 1,HYOU1,Q9Y4L1,Q9Y4L1
Q9Y4P1;Q9Y4P1-2;Q9Y4P1-6,Q9Y4P1;Q9Y4P1-2;Q9Y4P1-6,ATG4B_HUMAN,ATG4B,Cysteine protease ATG4B,ATG4B,Q9Y4P1;Q9Y4P1-2;Q9Y4P1-6,Q9Y4P1;Q9Y4P1-2;Q9Y4P1-6
Q9Y4P3,Q9Y4P3,TBL2_HUMAN,TBL2,Transducin beta-like protein 2,TBL2,Q9Y4P3,Q9Y4P3
Q9Y4W2;Q9Y4W2-2,Q9Y4W2;Q9Y4W2-2;Q9Y4W2-3,LAS1L_HUMAN,LAS1L,Ribosomal biogenesis protein LAS1L,LAS1L,Q9Y4W2;Q9Y4W2-2,Q9Y4W2;Q9Y4W2-2
Q9Y4W6,Q9Y4W6,AFG32_HUMAN,AFG3L2,AFG3-like protein 2,AFG3L2,Q9Y4W6,Q9Y4W6
Q9Y4X5,Q9Y4X5,ARI1_HUMAN,ARIH1,E3 ubiquitin-protein ligase ARIH1,ARIH1,Q9Y4X5,Q9Y4X5
Q9Y4Z0,Q9Y4Z0,LSM4_HUMAN,LSM4,U6 snRNA-associated Sm-like protein LSm4,LSM4,Q9Y4Z0,Q9Y4Z0
Q9Y512,Q9Y512,SAM50_HUMAN,SAMM50,Sorting and assembly machinery component 50 homolog,SAMM50,Q9Y512,Q9Y512
Q9Y520-7,Q9Y520;Q9Y520-3;Q9Y520-4;Q9Y520-5;Q9Y520-6;Q9Y520-7,PRC2C_HUMAN,PRRC2C,Isoform 7 of Protein PRRC2C,PRRC2C,Q9Y520-7,Q9Y520-7
Q9Y547,Q9Y547,IFT25_HUMAN,IFT25,Intraflagellar transport protein 25 homolog,IFT25,Q9Y547,Q9Y547
Q9Y570;Q9Y570-4,Q9Y570;Q9Y570-2;Q9Y570-3;Q9Y570-4,PPME1_HUMAN,PPME1,Protein phosphatase methylesterase 1,PPME1,Q9Y570;Q9Y570-4,Q9Y570;Q9Y570-4
Q9Y572,Q9Y572;Q9Y572-2;Q9Y572-3,RIPK3_HUMAN,RIPK3,Receptor-interacting serine/threonine-protein kinase 3,RIPK3,Q9Y572,Q9Y572
Q9Y580,Q9Y580,RBM7_HUMAN,RBM7,RNA-binding protein 7,RBM7,Q9Y580,Q9Y580
Q9Y584,Q9Y584,TIM22_HUMAN,TIMM22,Mitochondrial import inner membrane translocase subunit Tim22,TIMM22,Q9Y584,Q9Y584
Q9Y587,Q9Y587,AP4S1_HUMAN,AP4S1,AP-4 complex subunit sigma-1,AP4S1,Q9Y587,Q9Y587
Q9Y5A7;Q9Y5A7-2,Q9Y5A7;Q9Y5A7-2,NUB1_HUMAN,NUB1,NEDD8 ultimate buster 1,NUB1,Q9Y5A7;Q9Y5A7-2,Q9Y5A7;Q9Y5A7-2
Q9Y5A9,Q9Y5A9;Q9Y5A9-2,YTHD2_HUMAN,YTHDF2,YTH domain-containing family protein 2,YTHDF2,Q9Y5A9,Q9Y5A9
Q9Y5B0,Q9Y5B0;Q9Y5B0-4,CTDP1_HUMAN,CTDP1,RNA polymerase II subunit A C-terminal domain phosphatase,CTDP1,Q9Y5B0,Q9Y5B0
Q9Y5B6;Q9Y5B6-2,Q9Y5B6;Q9Y5B6-2;Q9Y5B6-3;Q9Y5B6-4,PAXB1_HUMAN,PAXBP1,PAX3- and PAX7-binding protein 1,PAXBP1,Q9Y5B6;Q9Y5B6-2,Q9Y5B6;Q9Y5B6-2
Q9Y5B9,Q9Y5B9,SP16H_HUMAN,SUPT16H,FACT complex subunit SPT16,SUPT16H,Q9Y5B9,Q9Y5B9
Q9Y5J1,Q9Y5J1,UTP18_HUMAN,UTP18,U3 small nucleolar RNA-associated protein 18 homolog,UTP18,Q9Y5J1,Q9Y5J1
Q9Y5K5;Q9Y5K5-2;Q9Y5K5-3;Q9Y5K5-4,Q9Y5K5;Q9Y5K5-2;Q9Y5K5-3;Q9Y5K5-4,UCHL5_HUMAN,UCHL5,Ubiquitin carboxyl-terminal hydrolase isozyme L5,UCHL5,Q9Y5K5;Q9Y5K5-2;Q9Y5K5-3;Q9Y5K5-4,Q9Y5K5;Q9Y5K5-2;Q9Y5K5-3;Q9Y5K5-4
Q9Y5K6,Q9Y5K6,CD2AP_HUMAN,CD2AP,CD2-associated protein,CD2AP,Q9Y5K6,Q9Y5K6
Q9Y5K8,Q9Y5K8,VATD_HUMAN,ATP6V1D,V-type proton ATPase subunit D,ATP6V1D,Q9Y5K8,Q9Y5K8
Q9Y5L0;Q9Y5L0-1;Q9Y5L0-3,Q9Y5L0;Q9Y5L0-1;Q9Y5L0-3;Q9Y5L0-5,TNPO3_HUMAN,TNPO3,Transportin-3,TNPO3,Q9Y5L0;Q9Y5L0-1;Q9Y5L0-3,Q9Y5L0;Q9Y5L0-1;Q9Y5L0-3
Q9Y5L4,Q9Y5L4,TIM13_HUMAN,TIMM13,Mitochondrial import inner membrane translocase subunit Tim13,TIMM13,Q9Y5L4,Q9Y5L4
Q9Y5M8,Q9Y5M8,SRPRB_HUMAN,SRPRB,Signal recognition particle receptor subunit beta,SRPRB,Q9Y5M8,Q9Y5M8
Q9Y5N5,Q9Y5N5,N6MT1_HUMAN,N6AMT1,Methyltransferase N6AMT1,N6AMT1,Q9Y5N5,Q9Y5N5
Q9Y5P3;Q9Y5P3-2,Q9Y5P3;Q9Y5P3-2,RAI2_HUMAN,RAI2,Retinoic acid-induced protein 2,RAI2,Q9Y5P3;Q9Y5P3-2,Q9Y5P3;Q9Y5P3-2
Q9Y5P4;Q9Y5P4-2;Q9Y5P4-3,Q9Y5P4;Q9Y5P4-2;Q9Y5P4-3,CERT_HUMAN,CERT1,Ceramide transfer protein,CERT1,Q9Y5P4;Q9Y5P4-2;Q9Y5P4-3,Q9Y5P4;Q9Y5P4-2;Q9Y5P4-3
Q9Y5P6;Q9Y5P6-2,Q9Y5P6;Q9Y5P6-2,GMPPB_HUMAN,GMPPB,Mannose-1-phosphate guanyltransferase beta,GMPPB,Q9Y5P6;Q9Y5P6-2,Q9Y5P6;Q9Y5P6-2
Q9Y5Q8;Q9Y5Q8-2;Q9Y5Q8-3,Q9Y5Q8;Q9Y5Q8-2;Q9Y5Q8-3,TF3C5_HUMAN,GTF3C5,General transcription factor 3C polypeptide 5,GTF3C5,Q9Y5Q8;Q9Y5Q8-2;Q9Y5Q8-3,Q9Y5Q8;Q9Y5Q8-2;Q9Y5Q8-3
Q9Y5Q9,Q9Y5Q9,TF3C3_HUMAN,GTF3C3,General transcription factor 3C polypeptide 3,GTF3C3,Q9Y5Q9,Q9Y5Q9
Q9Y5R8,Q9Y5R8,TPPC1_HUMAN,TRAPPC1,Trafficking protein particle complex subunit 1,TRAPPC1,Q9Y5R8,Q9Y5R8
Q9Y5S2,Q9Y5S2,MRCKB_HUMAN,CDC42BPB,Serine/threonine-protein kinase MRCK beta,CDC42BPB,Q9Y5S2,Q9Y5S2
Q9Y5S9,Q9Y5S9;Q9Y5S9-2,RBM8A_HUMAN,RBM8A,RNA-binding protein 8A,RBM8A,Q9Y5S9,Q9Y5S9
Q9Y5U2;Q9Y5U2-2,Q9Y5U2;Q9Y5U2-2,TSSC4_HUMAN,TSSC4,Protein TSSC4,TSSC4,Q9Y5U2;Q9Y5U2-2,Q9Y5U2;Q9Y5U2-2
Q9Y5V3;Q9Y5V3-2,Q9Y5V3;Q9Y5V3-2,MAGD1_HUMAN,MAGED1,Melanoma-associated antigen D1,MAGED1,Q9Y5V3;Q9Y5V3-2,Q9Y5V3;Q9Y5V3-2
Q9Y5W9;Q9Y5W9-2,Q9Y5W9;Q9Y5W9-2,SNX11_HUMAN,SNX11,Sorting nexin-11,SNX11,Q9Y5W9;Q9Y5W9-2,Q9Y5W9;Q9Y5W9-2
Q9Y5X1,Q9Y5X1,SNX9_HUMAN,SNX9,Sorting nexin-9,SNX9,Q9Y5X1,Q9Y5X1
Q9Y5X2,Q9Y5X2,SNX8_HUMAN,SNX8,Sorting nexin-8,SNX8,Q9Y5X2,Q9Y5X2
Q9Y5X3,Q9Y5X3,SNX5_HUMAN,SNX5,Sorting nexin-5,SNX5,Q9Y5X3,Q9Y5X3
Q9Y5Y2,Q9Y5Y2,NUBP2_HUMAN,NUBP2,Cytosolic Fe-S cluster assembly factor NUBP2,NUBP2,Q9Y5Y2,Q9Y5Y2
Q9Y5Y6,Q9Y5Y6,ST14_HUMAN,ST14,Suppressor of tumorigenicity 14 protein,ST14,Q9Y5Y6,Q9Y5Y6
Q9Y5Z4,Q9Y5Z4;Q9Y5Z4-2,HEBP2_HUMAN,HEBP2,Heme-binding protein 2,HEBP2,Q9Y5Z4,Q9Y5Z4
Q9Y5Z9;Q9Y5Z9-2,Q9Y5Z9;Q9Y5Z9-2,UBIA1_HUMAN,UBIAD1,UbiA prenyltransferase domain-containing protein 1,UBIAD1,Q9Y5Z9;Q9Y5Z9-2,Q9Y5Z9;Q9Y5Z9-2
Q9Y600;Q9Y600-3,Q9Y600;Q9Y600-2;Q9Y600-3,CSAD_HUMAN,CSAD,Cysteine sulfinic acid decarboxylase,CSAD,Q9Y600;Q9Y600-3,Q9Y600;Q9Y600-3
Q9Y606;Q9Y606-2,Q9Y606;Q9Y606-2,PUS1_HUMAN,PUS1,Pseudouridylate synthase 1 homolog,PUS1,Q9Y606;Q9Y606-2,Q9Y606;Q9Y606-2
Q9Y608;Q9Y608-4,Q9Y608;Q9Y608-2;Q9Y608-4;Q9Y608-5,LRRF2_HUMAN,LRRFIP2,Leucine-rich repeat flightless-interacting protein 2,LRRFIP2,Q9Y608;Q9Y608-4,Q9Y608;Q9Y608-4
Q9Y613,Q9Y613,FHOD1_HUMAN,FHOD1,FH1/FH2 domain-containing protein 1,FHOD1,Q9Y613,Q9Y613
Q9Y618;Q9Y618-4;Q9Y618-5,Q9Y618;Q9Y618-2;Q9Y618-4;Q9Y618-5,NCOR2_HUMAN,NCOR2,Nuclear receptor corepressor 2,NCOR2,Q9Y618;Q9Y618-4;Q9Y618-5,Q9Y618;Q9Y618-4;Q9Y618-5
Q9Y624,Q9Y624,JAM1_HUMAN,F11R,Junctional adhesion molecule A,F11R,Q9Y624,Q9Y624
Q9Y625,Q9Y625,GPC6_HUMAN,GPC6,Glypican-6,GPC6,Q9Y625,Q9Y625
Q9Y639;Q9Y639-1;Q9Y639-3;Q9Y639-4;Q9Y639-5,Q9Y639;Q9Y639-1;Q9Y639-3;Q9Y639-4;Q9Y639-5,NPTN_HUMAN,NPTN,Neuroplastin,NPTN,Q9Y639;Q9Y639-1;Q9Y639-3;Q9Y639-4;Q9Y639-5,Q9Y639;Q9Y639-1;Q9Y639-3;Q9Y639-4;Q9Y639-5
Q9Y646,Q9Y646,CBPQ_HUMAN,CPQ,Carboxypeptidase Q,CPQ,Q9Y646,Q9Y646
Q9Y653;Q9Y653-2;Q9Y653-3,Q9Y653;Q9Y653-2;Q9Y653-3,AGRG1_HUMAN,ADGRG1,Adhesion G-protein coupled receptor G1,ADGRG1,Q9Y653;Q9Y653-2;Q9Y653-3,Q9Y653;Q9Y653-2;Q9Y653-3
Q9Y657,Q9Y657,SPIN1_HUMAN,SPIN1,Spindlin-1,SPIN1,Q9Y657,Q9Y657
Q9Y666,Q9Y666,S12A7_HUMAN,SLC12A7,Solute carrier family 12 member 7,SLC12A7,Q9Y666,Q9Y666
Q9Y673;Q9Y673-2,Q9Y673;Q9Y673-2,ALG5_HUMAN,ALG5,Dolichyl-phosphate beta-glucosyltransferase,ALG5,Q9Y673;Q9Y673-2,Q9Y673;Q9Y673-2
